ticket,fecha_reporte,categoria,area,urgencia,impacto,tiempo_estimado_min,canal,tipo_usuario,dispositivo,horario,prioridad,escalar,accion_recomendada,accion_sugerida,descripcion
1001,2026-04-07,Internet,Tecnología,Alta,Alto,30,Teléfono,Técnico,Red,Fuera de horario,Alta,Sí,Atender de inmediato y escalar al equipo técnico,,
1002,2026-04-05,Base de datos,Biblioteca,Alta,Alto,23,Formulario,Estudiante,Servidor,Laboral,Alta,Sí,Atender de inmediato y escalar al equipo técnico,,
1003,2026-05-07,Seguridad,Académica,Alta,Alto,30,Presencial,Directivo,Servidor,Fuera de horario,Alta,Sí,Atender de inmediato y escalar al equipo técnico,,
1004,2026-04-10,Acceso al sistema,Biblioteca,Media,Alto,19,Presencial,Estudiante,Móvil,Laboral,Alta,Sí,Atender de inmediato y escalar al equipo técnico,,
1005,2026-04-24,Base de datos,Laboratorio,Alta,Medio,28,Correo,Técnico,Servidor,Laboral,Alta,Sí,Atender de inmediato y escalar al equipo técnico,,
1006,2026-05-20,Seguridad,Biblioteca,Alta,Alto,31,Teléfono,Directivo,Laptop,Fuera de horario,Alta,Sí,Atender de inmediato y escalar al equipo técnico,,
1007,2026-04-16,Internet,Finanzas,Alta,Alto,35,Correo,Técnico,Router,Laboral,Alta,Sí,Atender de inmediato y escalar al equipo técnico,,
1008,2026-04-11,Internet,Académica,Media,Alto,19,Teléfono,Docente,Router,Laboral,Alta,Sí,Atender de inmediato y escalar al equipo técnico,,
1009,2026-04-22,Acceso al sistema,Tecnología,Media,Medio,35,Teléfono,Técnico,Desktop,Laboral,Alta,Sí,Atender de inmediato y escalar al equipo técnico,,
1010,2026-04-05,Plataforma virtual,Registro,Alta,Alto,18,Correo,Administrativo,Desktop,Laboral,Alta,Sí,Atender de inmediato y escalar al equipo técnico,,
1011,2026-04-23,Plataforma virtual,Académica,Alta,Medio,22,Formulario,Técnico,Laptop,Laboral,Alta,Sí,Atender de inmediato y escalar al equipo técnico,,
1012,2026-04-26,Base de datos,Laboratorio,Alta,Alto,33,Chat,Directivo,Servidor,Laboral,Alta,Sí,Atender de inmediato y escalar al equipo técnico,,
1013,2026-04-18,Plataforma virtual,Biblioteca,Media,Alto,14,Chat,Administrativo,Desktop,Fuera de horario,Alta,Sí,Atender de inmediato y escalar al equipo técnico,,
1014,2026-04-15,Base de datos,Finanzas,Alta,Alto,15,Formulario,Estudiante,Servidor,Fuera de horario,Alta,Sí,Atender de inmediato y escalar al equipo técnico,,
1015,2026-04-27,Base de datos,Finanzas,Alta,Alto,10,Presencial,Administrativo,Servidor,Fuera de horario,Alta,Sí,Atender de inmediato y escalar al equipo técnico,,
1016,2026-04-30,Seguridad,Académica,Media,Medio,31,Presencial,Directivo,Red,Laboral,Alta,Sí,Atender de inmediato y escalar al equipo técnico,,
1017,2026-04-13,Acceso al sistema,Académica,Alta,Medio,22,Correo,Docente,Desktop,Laboral,Alta,Sí,Atender de inmediato y escalar al equipo técnico,,
1018,2026-05-05,Internet,Académica,Media,Alto,13,Correo,Administrativo,Red,Laboral,Alta,Sí,Atender de inmediato y escalar al equipo técnico,,
1019,2026-04-23,Base de datos,Dirección,Media,Alto,14,Presencial,Administrativo,Servidor,Laboral,Alta,Sí,Atender de inmediato y escalar al equipo técnico,,
1020,2026-05-18,Plataforma virtual,Laboratorio,Alta,Alto,25,Teléfono,Administrativo,Tablet,Fuera de horario,Alta,Sí,Atender de inmediato y escalar al equipo técnico,,
1021,2026-04-10,Base de datos,Tecnología,Media,Alto,16,Presencial,Estudiante,Servidor,Fuera de horario,Alta,Sí,Atender de inmediato y escalar al equipo técnico,,
1022,2026-04-11,Acceso al sistema,Tecnología,Media,Alto,26,Teléfono,Docente,Móvil,Laboral,Alta,Sí,Atender de inmediato y escalar al equipo técnico,,
1023,2026-04-16,Seguridad,Laboratorio,Alta,Medio,17,Chat,Docente,Servidor,Laboral,Alta,Sí,Atender de inmediato y escalar al equipo técnico,,
1024,2026-04-13,Internet,Dirección,Media,Alto,10,Presencial,Administrativo,Router,Fuera de horario,Alta,Sí,Atender de inmediato y escalar al equipo técnico,,
1025,2026-04-22,Internet,Laboratorio,Alta,Alto,17,Formulario,Directivo,Red,Laboral,Alta,Sí,Atender de inmediato y escalar al equipo técnico,,
1026,2026-05-16,Internet,Administración,Media,Alto,31,Formulario,Directivo,Red,Laboral,Alta,Sí,Atender de inmediato y escalar al equipo técnico,,
1027,2026-04-06,Internet,Registro,Alta,Medio,22,Formulario,Docente,Red,Laboral,Alta,Sí,Atender de inmediato y escalar al equipo técnico,,
1028,2026-05-13,Seguridad,Registro,Alta,Medio,14,Teléfono,Docente,Laptop,Laboral,Alta,Sí,Atender de inmediato y escalar al equipo técnico,,
